timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577995485828,650,get,200,OK,Group list 1-1,text,true,,12880,493,7,21,http://192.168.56.101/group.php,606,0,0
1577995486019,641,get,200,OK,Group list 1-4,text,true,,12916,493,7,21,http://192.168.56.101/group.php,483,0,0
1577995486057,688,get,200,OK,Group list 1-2,text,true,,12916,493,7,21,http://192.168.56.101/group.php,572,0,0
1577995486084,677,get,200,OK,Group list 1-6,text,true,,12910,493,7,21,http://192.168.56.101/group.php,478,0,0
1577995486465,590,get,200,OK,Group list 1-5,text,true,,12947,493,8,24,http://192.168.56.101/group.php,382,0,1
1577995486478,647,get,200,OK,Group list 1-1,text,true,,12961,493,8,24,http://192.168.56.101/group.php,609,0,1
1577995486425,706,get,200,OK,Group list 1-7,text,true,,12971,493,8,24,http://192.168.56.101/group.php,570,0,0
1577995486105,1239,get,200,OK,Group list 1-3,text,true,,12910,493,8,24,http://192.168.56.101/group.php,1112,0,0
1577995486761,598,get,200,OK,Group list 1-6,text,true,,13018,493,8,24,http://192.168.56.101/group.php,597,0,0
1577995486660,744,get,200,OK,Group list 1-4,text,true,,12996,493,8,24,http://192.168.56.101/group.php,644,0,0
1577995486865,592,get,200,OK,Group list 1-8,text,true,,13034,493,8,24,http://192.168.56.101/group.php,433,0,0
1577995487055,694,get,200,OK,Group list 1-5,text,true,,13023,493,8,24,http://192.168.56.101/group.php,584,0,0
1577995487131,690,get,200,OK,Group list 1-7,text,true,,13046,493,8,24,http://192.168.56.101/group.php,641,0,0
1577995487125,701,get,200,OK,Group list 1-1,text,true,,13070,493,8,24,http://192.168.56.101/group.php,604,0,0
1577995487359,468,get,200,OK,Group list 1-6,text,true,,13096,493,8,24,http://192.168.56.101/group.php,367,0,1
1577995487344,492,get,200,OK,Group list 1-3,text,true,,13096,493,8,24,http://192.168.56.101/group.php,398,0,0
1577995486745,1216,get,200,OK,Group list 1-2,text,true,,13018,493,9,27,http://192.168.56.101/group.php,1143,0,0
1577995487405,574,get,200,OK,Group list 1-4,text,true,,13129,493,9,27,http://192.168.56.101/group.php,438,0,0
1577995487457,553,get,200,OK,Group list 1-8,text,true,,13151,493,9,27,http://192.168.56.101/group.php,537,0,0
1577995487749,277,get,200,OK,Group list 1-5,text,true,,13198,493,9,27,http://192.168.56.101/group.php,270,0,0
1577995487864,460,get,200,OK,Group list 1-9,text,true,,13210,493,9,27,http://192.168.56.101/group.php,453,0,1
1577995487961,936,get,200,OK,Group list 1-2,text,true,,13220,493,10,28,http://192.168.56.101/group.php,935,0,0
1577995487826,1089,get,200,OK,Group list 1-1,text,true,,13219,493,10,28,http://192.168.56.101/group.php,1008,0,0
1577995487827,1137,get,200,OK,Group list 1-6,text,true,,13219,493,10,30,http://192.168.56.101/group.php,968,0,0
1577995487979,1046,get,200,OK,Group list 1-4,text,true,,13219,493,10,30,http://192.168.56.101/group.php,880,0,0
1577995487821,1207,get,200,OK,Group list 1-7,text,true,,13219,493,10,30,http://192.168.56.101/group.php,1069,0,0
1577995488026,1098,get,200,OK,Group list 1-5,text,true,,13219,493,10,30,http://192.168.56.101/group.php,977,0,0
1577995488010,1125,get,200,OK,Group list 1-8,text,true,,13219,493,10,30,http://192.168.56.101/group.php,1007,0,0
1577995488325,892,get,200,OK,Group list 1-9,text,true,,13398,493,10,30,http://192.168.56.101/group.php,826,0,0
1577995487836,1383,get,200,OK,Group list 1-3,text,true,,13219,493,10,30,http://192.168.56.101/group.php,1382,0,0
1577995488865,498,get,200,OK,Group list 1-10,text,true,,13454,493,10,30,http://192.168.56.101/group.php,362,0,1
1577995488915,705,get,200,OK,Group list 1-1,text,true,,13474,493,10,30,http://192.168.56.101/group.php,467,0,1
1577995489029,601,get,200,OK,Group list 1-7,text,true,,13487,493,10,30,http://192.168.56.101/group.php,489,0,0
1577995488964,826,get,200,OK,Group list 1-6,text,true,,13491,493,10,30,http://192.168.56.101/group.php,825,0,0
1577995489026,1204,get,200,OK,Group list 1-4,text,true,,13508,493,11,33,http://192.168.56.101/group.php,1202,0,0
1577995489135,1173,get,200,OK,Group list 1-8,text,true,,13518,493,11,33,http://192.168.56.101/group.php,988,0,1
1577995489217,1106,get,200,OK,Group list 1-9,text,true,,13544,493,11,33,http://192.168.56.101/group.php,902,0,0
1577995488897,1468,get,200,OK,Group list 1-2,text,true,,13497,493,11,33,http://192.168.56.101/group.php,1202,0,0
1577995489220,1194,get,200,OK,Group list 1-3,text,true,,13544,493,11,33,http://192.168.56.101/group.php,948,0,0
1577995489363,1300,get,200,OK,Group list 1-10,text,true,,13564,493,11,33,http://192.168.56.101/group.php,1059,0,0
1577995489790,900,get,200,OK,Group list 1-6,text,true,,13617,493,11,33,http://192.168.56.101/group.php,545,0,1
1577995489630,1060,get,200,OK,Group list 1-7,text,true,,13607,493,11,33,http://192.168.56.101/group.php,987,0,0
1577995489869,823,get,200,OK,Group list 1-11,text,true,,13626,493,11,33,http://192.168.56.101/group.php,610,0,0
1577995489620,1144,get,200,OK,Group list 1-1,text,true,,13616,493,11,33,http://192.168.56.101/group.php,1057,0,0
1577995489124,1778,get,200,OK,Group list 1-5,text,true,,13509,493,12,34,http://192.168.56.101/group.php,1617,0,1
1577995490365,782,get,200,OK,Group list 1-2,text,true,,13779,493,12,36,http://192.168.56.101/group.php,781,0,1
1577995490323,858,get,200,OK,Group list 1-9,text,true,,13774,493,12,36,http://192.168.56.101/group.php,803,0,0
1577995490415,767,get,200,OK,Group list 1-3,text,true,,13788,493,12,36,http://192.168.56.101/group.php,544,0,0
1577995490309,941,get,200,OK,Group list 1-8,text,true,,13787,493,12,36,http://192.168.56.101/group.php,940,0,0
1577995490230,1355,get,200,OK,Group list 1-4,text,true,,13750,493,12,36,http://192.168.56.101/group.php,1221,0,0
1577995490663,1006,get,200,OK,Group list 1-10,text,true,,13805,493,12,36,http://192.168.56.101/group.php,908,0,0
1577995490865,924,get,200,OK,Group list 1-12,text,true,,13820,493,12,36,http://192.168.56.101/group.php,767,0,1
1577995490690,1123,get,200,OK,Group list 1-6,text,true,,13807,493,12,36,http://192.168.56.101/group.php,1025,0,0
1577995490692,1294,get,200,OK,Group list 1-11,text,true,,13814,493,13,39,http://192.168.56.101/group.php,954,0,0
1577995490690,1318,get,200,OK,Group list 1-7,text,true,,13814,493,13,39,http://192.168.56.101/group.php,964,0,0
1577995490764,1276,get,200,OK,Group list 1-1,text,true,,13816,493,13,39,http://192.168.56.101/group.php,1112,0,0
1577995490902,1215,get,200,OK,Group list 1-5,text,true,,13831,493,13,39,http://192.168.56.101/group.php,805,0,0
1577995491250,1051,get,200,OK,Group list 1-8,text,true,,13840,493,13,39,http://192.168.56.101/group.php,904,0,1
1577995491669,826,get,200,OK,Group list 1-10,text,true,,13862,493,13,39,http://192.168.56.101/group.php,825,0,1
1577995491182,1314,get,200,OK,Group list 1-9,text,true,,13849,493,13,39,http://192.168.56.101/group.php,1159,0,0
1577995491147,1460,get,200,OK,Group list 1-2,text,true,,13853,493,13,39,http://192.168.56.101/group.php,1270,0,0
1577995491813,998,get,200,OK,Group list 1-6,text,true,,13865,493,13,39,http://192.168.56.101/group.php,896,0,0
1577995491585,1263,get,200,OK,Group list 1-4,text,true,,13863,493,13,39,http://192.168.56.101/group.php,1078,0,0
1577995491790,1179,get,200,OK,Group list 1-12,text,true,,13865,493,14,42,http://192.168.56.101/group.php,933,0,0
1577995491986,1144,get,200,OK,Group list 1-11,text,true,,13871,493,14,42,http://192.168.56.101/group.php,1143,0,1
1577995492117,1030,get,200,OK,Group list 1-5,text,true,,13874,493,14,42,http://192.168.56.101/group.php,742,0,0
1577995492040,1127,get,200,OK,Group list 1-1,text,true,,13871,493,14,42,http://192.168.56.101/group.php,1020,0,1
1577995492302,1008,get,200,OK,Group list 1-8,text,true,,13879,493,14,42,http://192.168.56.101/group.php,1007,0,0
1577995492009,1377,get,200,OK,Group list 1-7,text,true,,13875,493,14,42,http://192.168.56.101/group.php,1097,0,5
1577995491182,2464,get,200,OK,Group list 1-3,text,true,,13851,493,14,42,http://192.168.56.101/group.php,2073,0,0
1577995492849,921,get,200,OK,Group list 1-4,text,true,,13880,493,14,42,http://192.168.56.101/group.php,920,0,0
1577995492608,1199,get,200,OK,Group list 1-2,text,true,,13886,493,14,42,http://192.168.56.101/group.php,1066,0,0
1577995492496,1403,get,200,OK,Group list 1-9,text,true,,13886,493,15,43,http://192.168.56.101/group.php,1402,0,0
1577995492811,1263,get,200,OK,Group list 1-6,text,true,,13876,493,15,45,http://192.168.56.101/group.php,1010,0,0
1577995492969,1157,get,200,OK,Group list 1-12,text,true,,13880,493,15,45,http://192.168.56.101/group.php,1156,0,1
1577995491866,2337,get,200,OK,Group list 1-13,text,true,,13865,493,15,45,http://192.168.56.101/group.php,2152,0,0
1577995492495,1739,get,200,OK,Group list 1-10,text,true,,13877,493,15,45,http://192.168.56.101/group.php,1642,0,0
1577995492869,1463,get,200,OK,Group list 1-14,text,true,,13879,493,15,45,http://192.168.56.101/group.php,1101,0,0
1577995493310,1188,get,200,OK,Group list 1-8,text,true,,13896,493,15,45,http://192.168.56.101/group.php,1097,0,1
1577995493387,1118,get,200,OK,Group list 1-7,text,true,,13895,493,15,45,http://192.168.56.101/group.php,1117,0,0
1577995493167,1348,get,200,OK,Group list 1-1,text,true,,13892,493,15,45,http://192.168.56.101/group.php,1193,0,0
